tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
d__Bacteria,Root,rank_0,d__Bacteria,Root,d__Bacteria,,,,,,
p__Abditibacteriota,d__Bacteria,rank_1,p__Abditibacteriota,Root,d__Bacteria,p__Abditibacteriota,,,,,
c__Abditibacteria,p__Abditibacteriota,rank_2,c__Abditibacteria,Root,d__Bacteria,p__Abditibacteriota,c__Abditibacteria,,,,
o__Abditibacteriales,c__Abditibacteria,rank_3,o__Abditibacteriales,Root,d__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,,,
f__Abitibacteriaceae,o__Abditibacteriales,rank_4,f__Abitibacteriaceae,Root,d__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abitibacteriaceae,,
g__Abditibacterium,f__Abitibacteriaceae,rank_5,g__Abditibacterium,Root,d__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abitibacteriaceae,g__Abditibacterium,
s__Abditibacterium_utsteinense,g__Abditibacterium,rank_6,s__Abditibacterium_utsteinense,Root,d__Bacteria,p__Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abitibacteriaceae,g__Abditibacterium,s__Abditibacterium_utsteinense
p__Acidobacteria,d__Bacteria,rank_1,p__Acidobacteria,Root,d__Bacteria,p__Acidobacteria,,,,,
c__Acidobacteriia,p__Acidobacteria,rank_2,c__Acidobacteriia,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,,,,
o__Acidobacteriales,c__Acidobacteriia,rank_3,o__Acidobacteriales,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,,,
f__Acidobacteriaceae,o__Acidobacteriales,rank_4,f__Acidobacteriaceae,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,,
g__Acidobacterium,f__Acidobacteriaceae,rank_5,g__Acidobacterium,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,
s__Acidobacterium_sp.,g__Acidobacterium,rank_6,s__Acidobacterium_sp.,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,s__Acidobacterium_sp.
g__Bryocella,f__Acidobacteriaceae,rank_5,g__Bryocella,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Bryocella,
s__Bryocella_elongata,g__Bryocella,rank_6,s__Bryocella_elongata,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Bryocella,s__Bryocella_elongata
g__Candidatus_Sulfotelmatobacter,f__Acidobacteriaceae,rank_5,g__Candidatus_Sulfotelmatobacter,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Candidatus_Sulfotelmatobacter,
